coordinates,created_at,created_d,created_h,created_m,created_min,created_y,favorite_count,id,lang,retweet_count,source,text
,,20.0,11.0,1.0,47.0,2018.0,123459.0,954681839419101185,en,31856.0,Twitter for iPhone,#AMERICA FIRST!
,,20.0,11.0,1.0,44.0,2018.0,154816.0,954680914998648833,en,40262.0,Twitter for iPhone,"For those asking, the Republicans only have 51 votes in the Senate, and they need 60. That is why we need to win mo… https://t.co/VAQ4O1yYv5"
,,20.0,11.0,1.0,33.0,2018.0,124097.0,954678287820902401,en,30783.0,Twitter for iPhone,This is the One Year Anniversary of my Presidency and the Democrats wanted to give me a nice present. #DemocratShutdown
,,20.0,11.0,1.0,17.0,2018.0,145222.0,954674157144477696,en,42800.0,Twitter for iPhone,Democrats are far more concerned with Illegal Immigrants than they are with our great Military or Safety at our dan… https://t.co/eHAkBL3AjB
,,20.0,2.0,1.0,28.0,2018.0,117514.0,954541219970977793,en,31453.0,Twitter for iPhone,Not looking good for our great Military or Safety &amp; Security on the very dangerous Southern Border. Dems want a Shu… https://t.co/Zs62ydrvwQ
,,19.0,22.0,1.0,17.0,2018.0,64756.0,954478044487520257,en,13119.0,Twitter for iPhone,Excellent preliminary meeting in Oval with @SenSchumer - working on solutions for Security and our great Military t… https://t.co/EC7lpgkNxk
,,19.0,20.0,1.0,53.0,2018.0,128946.0,954456754137501697,en,28082.0,Twitter for iPhone,Just signed 702 Bill to reauthorize foreign intelligence collection. This is NOT the same FISA law that was so wron… https://t.co/20fZau7RFT
,,19.0,18.0,1.0,39.0,2018.0,96568.0,954423170299199488,en,25075.0,Twitter for iPhone,"Today, I was honored and proud to address the 45th Annual @March_for_Life! You are living witnesses of this year’s… https://t.co/eZL7D5NtYg"
,,19.0,16.0,1.0,28.0,2018.0,49515.0,954390114968498176,en,15636.0,Twitter for iPhone,"“Shutting down the government is a very serious thing. People die, accidents happen. I don’t know how I would vote… https://t.co/UdjOG3Ynvl"
,,19.0,16.0,1.0,14.0,2018.0,43881.0,954386490842378241,en,8552.0,Twitter for iPhone,".@WhiteHouse Briefing with Director Marc Short and Director Mick Mulvaney...
https://t.co/0O0VsYXmHB"
,,19.0,12.0,1.0,4.0,2018.0,110891.0,954323750949982208,en,26113.0,Twitter for iPhone,Government Funding Bill past last night in the House of Representatives. Now Democrats are needed if it is to pass… https://t.co/xK33TIW16o
,,18.0,23.0,1.0,39.0,2018.0,102012.0,954136290768846850,en,20431.0,Twitter for iPhone,House of Representatives needs to pass Government Funding Bill tonight. So important for our country - our Military needs it!
,,18.0,21.0,1.0,4.0,2018.0,103424.0,954097213608570880,en,26221.0,Twitter for iPhone,"AMERICA will once again be a NATION that thinks big, dreams bigger, and always reaches for the stars. YOU are the o… https://t.co/VYcBBrQ3pG"
,,18.0,20.0,1.0,45.0,2018.0,75919.0,954092417250222082,en,15296.0,Twitter for iPhone,"Departing Pittsburgh now, where it was my great honor to stand with our incredible workers, and to show the world t… https://t.co/hig8AOxDFs"
,,18.0,13.0,1.0,49.0,2018.0,90924.0,953987636057821184,en,21994.0,Twitter for iPhone,A government shutdown will be devastating to our military...something the Dems care very little about!
,,18.0,13.0,1.0,37.0,2018.0,62600.0,953984671674662912,en,12101.0,Twitter for iPhone,"CHIP should be part of a long term solution, not a 30 Day, or short term, extension!"
,,18.0,13.0,1.0,16.0,2018.0,124029.0,953979393180950528,en,29313.0,Twitter for iPhone,We need the Wall for the safety and security of our country. We need the Wall to help stop the massive inflow of dr… https://t.co/wlyEE41v2w
,,18.0,12.0,1.0,53.0,2018.0,85383.0,953973568035086336,en,17186.0,Twitter for iPhone,"Will be going to Pennsylvania today in order to give my total support to RICK SACCONE, running for Congress in a Sp… https://t.co/zPK4tKI6Vp"
,,18.0,11.0,1.0,25.0,2018.0,112345.0,953951365532876800,en,28260.0,Twitter for iPhone,"....The Wall will be paid for, directly or indirectly, or through longer term reimbursement, by Mexico, which has a… https://t.co/J09b17pLIi"
,,18.0,11.0,1.0,15.0,2018.0,94606.0,953948941674078208,en,21720.0,Twitter for iPhone,"The Wall is the Wall, it has never changed or evolved from the first day I conceived of it. Parts will be, of neces… https://t.co/3UJscR3WGL"
,,18.0,1.0,1.0,11.0,2018.0,179517.0,953796944564031489,en,40224.0,Twitter for iPhone,"ISIS is in retreat, our economy is booming, investments and jobs are pouring back into the country, and so much mor… https://t.co/pXV43doqxa"
,,18.0,1.0,1.0,5.0,2018.0,112495.0,953795518592843777,en,22536.0,Twitter for iPhone,"Despite some very corrupt and dishonest media coverage, there are many great reporters I respect and lots of GOOD N… https://t.co/XtmYEpRDAu"
,,18.0,1.0,1.0,0.0,2018.0,113419.0,953794085751574534,en,41986.0,Twitter for iPhone,"And the FAKE NEWS winners are...
https://t.co/59G6x2f7fD"
,,17.0,23.0,1.0,36.0,2018.0,68191.0,953773110553186312,en,15699.0,Twitter for iPhone,Main Street is BACK! Strongest Holiday Sales bump since the Great Recession -- beating forecasts by BILLIONS OF DOL… https://t.co/NzP72Zarmr
